# Data Version	4.3
# Objects set	4.3
# Tree version	FMA3.0
# FMA ID	is_a/part_of	model component
FMA10014	is_a	FJ3175
FMA10037	is_a	FJ3154
FMA10059	is_a	FJ3155
FMA10081	is_a	FJ3156
FMA12224	is_a	FJ2441+FJ2442+FJ2443+FJ2444+FJ2445+FJ2446+FJ2447+FJ2448+FJ2449+FJ2451+FJ2452+FJ2453+FJ2454+FJ2455+FJ2456+FJ2457+FJ2458+FJ2459+FJ2460+FJ2461+FJ2462+FJ2463+FJ2464+FJ2465+FJ2466+FJ2467+FJ2468+FJ2469+FJ2470+FJ2471+FJ2472+FJ2473+FJ2474+FJ2475+FJ2476+FJ2477+FJ2478+FJ2479+FJ2480+FJ2481+FJ2482+FJ2483+FJ2484+FJ2485+FJ2486+FJ2487+FJ2488+FJ2489+FJ2490+FJ2491+FJ2492+FJ2493+FJ2494+FJ2495+FJ2496+FJ2497+FJ2498+FJ2499+FJ2500+FJ2501+FJ2502+FJ2503+FJ2504+FJ2505+FJ2506+FJ2507+FJ2508+FJ2509+FJ2510+FJ2511+FJ2512+FJ2513+FJ2514+FJ2515+FJ2516+FJ2517+FJ2518+FJ2519+FJ2520+FJ2521+FJ2522+FJ2523+FJ2524+FJ2525+FJ2526+FJ2527+FJ2528+FJ2529+FJ2530+FJ2531+FJ2532+FJ2533+FJ2534+FJ2535+FJ2536+FJ2537+FJ2538+FJ2539+FJ2540+FJ2541+FJ6488+FJ6489+FJ6490+FJ6491+FJ6492+FJ6493+FJ6494+FJ6495+FJ6496+FJ6497+FJ6498+FJ6499+FJ6500+FJ6501+FJ6502+FJ6503+FJ6504+FJ6505+FJ6506+FJ6507+FJ6508+FJ6509+FJ6510+FJ6511+FJ6512+FJ6513+FJ6514+FJ6515+FJ6516+FJ6517+FJ6518+FJ6519+FJ6520+FJ6521+FJ6522+FJ6523+FJ6524+FJ6525+FJ6526+FJ6527+FJ6528+FJ6529+FJ6530+FJ6531+FJ6532+FJ6533+FJ6534+FJ6535+FJ6536+FJ6537+FJ6538+FJ6539+FJ6540+FJ6541+FJ6542+FJ6543+FJ6544+FJ6545+FJ6546+FJ6547+FJ6548+FJ6549+FJ6550+FJ6551+FJ6552+FJ6553+FJ6554+FJ6555+FJ6556+FJ6557+FJ6558+FJ6559+FJ6560+FJ6561+FJ6562+FJ6563+FJ6564+FJ6565+FJ6566+FJ6567+FJ6568+FJ6569+FJ6570+FJ6571+FJ6572+FJ6573+FJ6574+FJ6575+FJ6576+FJ6577+FJ6578+FJ6579+FJ6580+FJ6581+FJ6582+FJ6583+FJ6584+FJ6585+FJ6586+FJ6587+FJ6588
FMA12516	is_a	FJ1254+FJ1255+FJ1256+FJ1257+FJ1258+FJ1259+FJ1260+FJ1261+FJ1262+FJ1263+FJ1264+FJ1265+FJ1266+FJ1267+FJ1268+FJ1269+FJ1270+FJ1271+FJ1272+FJ1273+FJ1274+FJ1275+FJ1276+FJ1277+FJ1278+FJ1279+FJ1280+FJ1281
FMA12519	is_a	FJ3176+FJ6295
FMA12520	is_a	FJ3177+FJ6296
FMA12521	is_a	FJ3161
FMA12522	is_a	FJ3164
FMA12523	is_a	FJ3167
FMA12524	is_a	FJ3170
FMA12525	is_a	FJ3172
FMA12823	is_a	FJ1258+FJ1259+FJ1265+FJ1266+FJ1272+FJ1273+FJ1279+FJ1280
FMA12845	is_a	FJ1987+FJ1995
FMA12846	is_a	FJ2656+FJ2657+FJ2658+FJ2659+FJ2660+FJ2661+FJ2662+FJ2663+FJ2664+FJ2665+FJ2678+FJ2679+FJ2680+FJ2681+FJ2682+FJ2683+FJ2684+FJ2685+FJ2686+FJ2687+FJ2688+FJ2689+FJ2690+FJ2691+FJ2701+FJ2702+FJ2703+FJ2704+FJ2705+FJ2706+FJ2707+FJ2708+FJ2709+FJ2710+FJ2711+FJ2712+FJ2713+FJ2724+FJ2725+FJ2727+FJ2728+FJ2729+FJ2730+FJ2731
FMA12858	is_a	FJ3493+FJ3589+FJ3658
FMA13072	is_a	FJ3157
FMA13073	is_a	FJ3159
FMA13074	is_a	FJ3162
FMA13075	is_a	FJ3165
FMA13076	is_a	FJ3168
FMA13087	is_a	FJ3411+FJ3413+FJ3427
FMA13109	is_a	FJ1456+FJ1456M
FMA13110	is_a	FJ5082
FMA13111	is_a	FJ5082
